ChainId,Name,Symbol,Decimals,TokenAddress
1,Angry Cat,Angry Cat,0,0xDCf68c8eBB18Df1419C7DFf17ed33505Faf8A20C
1,MutantApeYachtClub,MAYC,0,0x60E4d786628Fea6478F785A6d7e704777c86a7c6
1,Dogerium Network,Do.net,18,0xe958221ffB84c7E64E101A44F81F677963198Be9
1,PRIMATE,PRIMATE,18,0x46e98FFE40E408bA6412bEb670507e083C8B95ff
1,LegendsDAO,LegendsDAO,0,0xE7a79F72A6197ED342A244681a68F561FBf8eD83
1,Cuddly kids,CKS,0,0xcB29aB9BF3Fa5cE0034eB042c71420c3916a32AA
1,Tripster Travel Pass,TRIPSTER,0,0x98d0C0A0A07679687da3977944d61d39a02D7Fda
1,CreateraGenesisLand,CGL,0,0x3F3915Fb8769Ee456035331BC2F7fBE380f6b4d2
1,DAO Maker,DAO,18,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad
1,Matr1x 2061,2061,0,0x9a27d13a4896BaA03843A0728dff6007D665F8ee
1,Super PUMA,SPRPUMA,0,0x283c0BbA69EbD4643cfCe761B34b0206E75b2091
1,Synapse,SYN,18,0x0f2D719407FdBeFF09D87557AbB7232601FD9F29
1,StargateToken,STG,18,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6
1,McPepe Teh King,PEPEK,18,0x3832b1B358E09C6D8DEC493577b912C3d0b80ab7
1,Decentraland MANA,MANA,18,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
1,Paragons DAO Token,PDT,18,0x375aBB85C329753b1Ba849a601438AE77eEc9893
1,Stader,SD,18,0x30D20208d987713f46DFD34EF128Bb16C404D10f
1,Shytoshis AI,SHYAI,9,0xBe18d52Aea2F2154Af369be1260546F31915B58B
1,KnownOriginDigitalAsset,KODA,0,0xABB3738f04Dc2Ec20f4AE4462c3d069d02AE045B
1,Eye of Ra,ERA,18,0xa6535627AF13bD0C87c86797F37E52cEc21974a6
1,Attack On Shiba,ATOS,9,0xF0a3a52Eef1eBE77Bb2743F53035b5813aFe721F
1,TrueFi,TRU,8,0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784
1,Moonbirds,MOONBIRD,0,0x23581767a106ae21c074b2276D25e5C3e136a68b
1,Aura,AURA,18,0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF
1,Bluzelle Token,BLZ,18,0x5732046A883704404F284Ce41FfADd5b007FD668
1,McDollar,McDollar,18,0xc7E8B83507437aD26145d34c53fAA8D8Ca3B05e8
1,Sinners & Saints,SAS,0,0x7dE3E2F540Cf5c3065DE34Ac16A39DEB08fcdcf3
1,Wrapped Ether,anyETH,18,0x0615Dbba33Fe61a31c7eD131BDA6655Ed76748B1
1,Emblem Vault V4,Emblem.pro,0,0x82C7a8f707110f5FBb16184A5933E9F78a34c6ab
1,GuildFi Token,GF,18,0xAaEf88cEa01475125522e117BFe45cF32044E238
1,Immutable X,IMX,18,0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF
1,Balancer,BAL,18,0xba100000625a3754423978a60c9317c58a424e3D
1,McPepes 2.0,PEPES2.0,8,0xFD684910F0969E32B58a1Bd915E7fB94C8757a90
